transaction_id,customer_id,date,amount,payment_method,bank,category,status
1219,431,2024-11-12,9039.25,Credit Card,ICICI,Clothing,Success
1220,103,2024-11-15,10873.51,UPI,Axis,Clothing,Success
1221,405,2024-05-01,30724.47,Wallet,Amazon Pay,Education,Success
1222,227,2024-06-07,45246.73,Credit Card,Axis,Education,Success
1223,605,2024-08-13,38587.21,Net Banking,Kotak,Education,Success
1224,983,2024-04-12,14701.45,Debit Card,SBI,Furniture,Success
1225,173,2024-10-10,57056.38,Cash,N/A,Electronics,Success
1226,713,2024-03-23,9041.45,Cash,N/A,Healthcare,Failed
1227,127,2024-04-23,44289.17,UPI,Axis,Education,Success
1228,758,2024-07-10,19492.46,UPI,ICICI,Travel,Success
1229,948,2024-02-20,3977.77,Credit Card,HDFC,Entertainment,Success
1230,316,2024-12-22,11430.85,Net Banking,Axis,Clothing,Success
1231,338,2024-01-10,4391.53,Credit Card,Kotak,Healthcare,Pending
1232,710,2024-09-27,644.82,Debit Card,HDFC,Groceries,Success
1233,658,2024-05-02,3230.86,Cash,N/A,Groceries,Success
1234,505,2024-11-01,262.71,Cash,N/A,Utilities,Success
1235,777,2024-08-07,1248.88,Credit Card,Kotak,Food,Success
1236,756,2024-12-08,42117.02,Debit Card,SBI,Electronics,Refunded
1237,538,2024-09-16,5586.1,Net Banking,Axis,Utilities,Success
1238,646,2024-07-10,14971.6,Debit Card,SBI,Healthcare,Success
1239,902,2024-12-02,61834.36,Wallet,GooglePay,Electronics,Success
1240,786,2024-10-06,4086.19,Credit Card,AMEX,Entertainment,Success
1241,861,2024-09-02,12210.17,UPI,PNB,Clothing,Failed
1242,510,2024-01-19,4111.66,Credit Card,HDFC,Healthcare,Success
1243,978,2024-09-20,4946.7,Cash,N/A,Groceries,Success
1244,652,2024-11-27,14519.71,UPI,PNB,Travel,Success
1245,325,2024-07-07,4458.48,Wallet,Amazon Pay,Groceries,Pending
1246,275,2024-06-22,7543.81,Net Banking,ICICI,Clothing,Pending
1247,991,2024-05-16,58302.97,UPI,Axis,Electronics,Success
1248,881,2024-10-06,6492.11,UPI,ICICI,Healthcare,Success
1249,181,2024-08-16,72048.63,Credit Card,AMEX,Furniture,Success
1250,334,2024-01-22,3112.77,Net Banking,ICICI,Entertainment,Success
1251,704,2024-02-08,1880.22,Wallet,PhonePe,Groceries,Refunded
1252,106,2024-11-07,2222.55,UPI,HDFC,Education,Failed
1253,799,2024-07-04,4752.39,UPI,Kotak,Groceries,Success
1254,982,2024-07-08,2275.3,UPI,Kotak,Entertainment,Success
1255,799,2024-07-22,3282.85,Credit Card,HDFC,Entertainment,Success
1256,444,2024-09-12,3931.18,Cash,N/A,Utilities,Success
1257,743,2024-12-26,11121.24,Cash,N/A,Education,Success
1258,771,2024-04-12,11290.41,UPI,Axis,Electronics,Success
1259,208,2024-08-15,64935.8,Debit Card,BOB,Electronics,Success
1260,132,2024-10-08,2974.59,Debit Card,HDFC,Utilities,Success
1261,612,2024-11-22,11946.71,Cash,N/A,Clothing,Success
1262,199,2024-03-12,39581.54,UPI,ICICI,Travel,Success
1263,763,2024-08-27,1384.74,UPI,SBI,Utilities,Success
1264,740,2024-09-02,4166.87,Net Banking,Kotak,Utilities,Success
1265,948,2024-11-24,36272.97,Wallet,Mobikwik,Electronics,Success
1266,826,2024-10-09,19014.35,Credit Card,SBI,Furniture,Success
1267,704,2024-03-04,1614.85,Credit Card,ICICI,Utilities,Success
1268,619,2024-04-25,4742.67,Cash,N/A,Entertainment,Failed
1269,665,2024-04-10,2817.07,Wallet,GooglePay,Utilities,Success
1270,127,2024-09-14,8958.76,Cash,N/A,Clothing,Success
1271,843,2024-11-05,4228.4,Cash,N/A,Entertainment,Failed
1272,242,2024-02-11,1899.67,Cash,N/A,Food,Success
1273,431,2024-10-19,3128.73,UPI,Axis,Groceries,Pending
1274,538,2024-05-28,9710.6,Wallet,Amazon Pay,Healthcare,Success
1275,195,2024-12-18,358.26,Net Banking,Axis,Food,Success
1276,479,2024-11-06,4826.22,Wallet,GooglePay,Clothing,Success
1277,463,2024-07-23,11457.84,Cash,N/A,Clothing,Success
1278,167,2024-03-03,9046.96,Credit Card,HDFC,Healthcare,Success
1279,275,2024-11-11,1316.52,Credit Card,Axis,Groceries,Pending
1280,405,2024-06-09,38227.13,Net Banking,Kotak,Travel,Success
1281,181,2024-09-11,225.6,Net Banking,Kotak,Food,Success
1282,227,2024-04-20,35936.61,UPI,ICICI,Furniture,Success
1283,798,2024-12-10,14644.54,UPI,SBI,Education,Success
1284,733,2024-07-06,1893.09,Net Banking,SBI,Groceries,Success
1285,194,2024-07-04,2957.16,Net Banking,Kotak,Utilities,Success
1286,697,2024-05-23,68359.47,UPI,HDFC,Furniture,Refunded
1287,846,2024-07-10,2833.38,Debit Card,HDFC,Entertainment,Success
1288,246,2024-07-24,498.52,UPI,HDFC,Utilities,Success
1289,680,2024-09-22,7872.56,Cash,N/A,Education,Success
1290,165,2024-06-12,6015.73,Cash,N/A,Clothing,Success
1291,569,2024-09-17,4949.48,Cash,N/A,Utilities,Success
1292,381,2024-07-07,3401.65,Net Banking,Kotak,Entertainment,Success
1293,998,2024-12-18,1213.97,Debit Card,BOB,Food,Failed
1294,119,2024-10-23,23526.78,UPI,Kotak,Furniture,Success
1295,862,2024-11-18,77686.01,Net Banking,HDFC,Furniture,Failed
1296,487,2024-01-17,94872.31,UPI,HDFC,Furniture,Success
1297,203,2024-08-02,6311.81,Credit Card,SBI,Clothing,Success
1298,165,2024-08-29,1426.26,Cash,N/A,Food,Success
1299,907,2024-09-01,3830.57,Credit Card,SBI,Utilities,Pending
1300,479,2024-10-06,3411.76,Wallet,GooglePay,Entertainment,Success
1301,194,2024-05-06,11205.92,Credit Card,Axis,Healthcare,Failed
1302,282,2024-04-16,16193.52,Debit Card,Axis,Education,Pending
1303,405,2024-05-20,2525.29,Wallet,Mobikwik,Healthcare,Success
1304,993,2024-06-25,4498.7,Debit Card,BOB,Clothing,Success
1305,157,2024-12-01,14972.04,Credit Card,ICICI,Healthcare,Failed
1306,691,2024-10-14,2831.73,Cash,N/A,Healthcare,Success
1307,956,2024-09-28,32005.85,UPI,SBI,Travel,Success
1308,740,2024-08-29,54654.76,Credit Card,HDFC,Electronics,Refunded
1309,814,2024-07-27,24133.7,Credit Card,Axis,Education,Success
1310,845,2024-01-31,52357.75,Credit Card,Kotak,Electronics,Success
1311,204,2024-03-30,4423.0,Credit Card,HDFC,Groceries,Refunded
1312,993,2024-09-10,14061.81,Debit Card,SBI,Clothing,Success
1313,621,2024-11-04,74312.16,Debit Card,ICICI,Electronics,Success
1314,111,2024-10-05,4989.73,Credit Card,Kotak,Utilities,Success
1315,194,2024-02-27,896.22,Net Banking,Yes Bank,Entertainment,Success
1316,444,2024-01-08,3974.76,Cash,N/A,Entertainment,Success
1317,666,2024-07-26,2624.88,UPI,Axis,Groceries,Success
1318,444,2024-03-12,16518.28,Credit Card,HDFC,Education,Success
1319,649,2024-08-16,19085.29,Debit Card,Axis,Healthcare,Success
1320,125,2024-05-13,3494.57,UPI,PNB,Entertainment,Success
1321,181,2024-03-22,3461.76,Wallet,GooglePay,Groceries,Success
1322,666,2024-05-31,3111.66,Credit Card,ICICI,Entertainment,Success
1323,423,2024-11-06,2137.64,Cash,N/A,Entertainment,Failed
1324,756,2024-04-21,34112.99,Cash,N/A,Travel,Success
1325,974,2024-12-26,482.7,Cash,N/A,Entertainment,Success
1326,697,2024-09-15,28763.27,Credit Card,ICICI,Travel,Success
1327,352,2024-08-14,54583.47,Wallet,Mobikwik,Electronics,Success
1328,246,2024-08-16,934.19,Cash,N/A,Food,Success
1329,704,2024-10-13,33802.0,Debit Card,BOB,Education,Success
1330,400,2024-01-02,29042.07,UPI,Axis,Travel,Success
1331,132,2024-10-04,1872.44,UPI,Axis,Food,Success
1332,488,2024-04-02,11534.25,Wallet,Amazon Pay,Clothing,Success
1333,914,2024-08-17,1940.66,Wallet,Mobikwik,Groceries,Success
1334,314,2024-03-01,14894.13,Net Banking,Kotak,Clothing,Success
1335,144,2024-01-02,1958.06,Net Banking,Yes Bank,Food,Success
1336,670,2024-09-29,4134.47,Credit Card,SBI,Groceries,Success
1337,296,2024-04-06,3061.28,Wallet,Amazon Pay,Electronics,Success
1338,381,2024-05-03,3644.36,Cash,N/A,Travel,Success
1339,997,2024-12-26,527.23,UPI,Axis,Food,Success
1340,698,2024-04-21,323.26,Debit Card,HDFC,Food,Failed
1341,902,2024-10-21,2929.63,Wallet,GooglePay,Entertainment,Success
1342,106,2024-12-04,2288.32,Debit Card,ICICI,Utilities,Success
1343,742,2024-03-30,2823.67,UPI,ICICI,Groceries,Pending
1344,956,2024-07-14,3255.47,Net Banking,Axis,Utilities,Success
1345,723,2024-04-04,4787.84,Credit Card,Axis,Utilities,Failed
1346,106,2024-08-25,1146.65,Net Banking,Kotak,Food,Success
1347,646,2024-05-04,4146.4,Wallet,Paytm,Healthcare,Pending
1348,763,2024-02-17,7273.39,Credit Card,HDFC,Utilities,Success
1349,997,2024-11-05,4915.21,UPI,HDFC,Furniture,Failed
1350,256,2024-12-09,2248.46,Credit Card,Axis,Utilities,Success
1351,859,2024-04-18,48115.25,UPI,PNB,Travel,Refunded
1352,835,2024-05-04,70673.09,Net Banking,HDFC,Furniture,Success
1353,119,2024-05-24,2384.63,Wallet,GooglePay,Groceries,Success
1354,970,2024-09-19,23567.2,Wallet,Amazon Pay,Education,Failed
1355,948,2024-04-14,1633.32,UPI,Kotak,Entertainment,Failed
1356,848,2024-03-15,558.51,Cash,N/A,Food,Success
1357,489,2024-06-17,19178.04,Credit Card,SBI,Travel,Success
1358,261,2024-06-21,15290.88,Net Banking,Yes Bank,Healthcare,Success
1359,771,2024-08-23,11045.03,Debit Card,HDFC,Clothing,Success
1360,538,2024-09-07,13770.11,Cash,N/A,Clothing,Success
1361,323,2024-12-08,1540.46,Net Banking,HDFC,Food,Failed
1362,570,2024-02-04,335.29,Cash,N/A,Clothing,Success
1363,490,2024-11-22,91362.39,Wallet,Amazon Pay,Furniture,Success
1364,651,2024-10-09,158.07,Cash,N/A,Groceries,Success
1365,146,2024-01-09,8150.26,Wallet,Amazon Pay,Utilities,Failed
1366,320,2024-02-24,42188.64,Credit Card,ICICI,Electronics,Success
1367,665,2024-06-30,15919.23,UPI,ICICI,Healthcare,Refunded
1368,510,2024-10-16,49514.58,Credit Card,Axis,Travel,Success
1369,338,2024-11-30,232.33,Net Banking,Axis,Food,Success
1370,704,2024-11-22,1420.55,UPI,Axis,Food,Failed
1371,845,2024-06-18,97755.59,UPI,Kotak,Furniture,Pending
1372,847,2024-04-18,48074.53,UPI,SBI,Furniture,Success
1373,821,2024-10-05,66152.81,Credit Card,Axis,Furniture,Success
1374,452,2024-10-27,11333.37,Wallet,Amazon Pay,Clothing,Pending
1375,891,2024-03-24,24806.75,Net Banking,Yes Bank,Furniture,Pending
1376,750,2024-07-15,11899.37,Wallet,Paytm,Clothing,Success
1377,463,2024-01-28,35248.52,UPI,ICICI,Electronics,Success
1378,494,2024-10-31,4847.71,Debit Card,SBI,Groceries,Success
1379,982,2024-09-08,17983.82,Net Banking,Axis,Travel,Success
1380,212,2024-12-04,519.9,Cash,N/A,Groceries,Failed
1381,208,2024-02-07,21803.78,Net Banking,Yes Bank,Electronics,Failed
1382,263,2024-07-18,1867.43,UPI,SBI,Entertainment,Pending
1383,157,2024-07-03,2134.41,UPI,HDFC,Healthcare,Success
1384,930,2024-10-11,4139.64,UPI,SBI,Utilities,Success
1385,127,2024-11-01,78659.43,Net Banking,SBI,Furniture,Success
1386,646,2024-02-13,9061.55,Credit Card,Kotak,Utilities,Success
1387,261,2024-07-13,2254.83,Debit Card,ICICI,Clothing,Success
1388,132,2024-03-26,1452.21,Debit Card,PNB,Groceries,Failed
1389,970,2024-05-08,36128.7,Net Banking,Kotak,Travel,Success
1390,510,2024-02-24,4708.94,Net Banking,ICICI,Clothing,Failed
1391,914,2024-06-17,17069.44,Wallet,Mobikwik,Education,Success
1392,955,2024-11-04,24106.78,Credit Card,SBI,Travel,Refunded
1393,777,2024-12-21,48404.27,Credit Card,Axis,Education,Success
1394,846,2024-07-05,74599.34,Credit Card,Kotak,Electronics,Refunded
1395,881,2024-12-15,366.47,Wallet,Amazon Pay,Utilities,Pending
1396,452,2024-08-12,16642.51,UPI,Axis,Healthcare,Success
1397,928,2024-11-20,4916.22,Wallet,PhonePe,Healthcare,Success
1398,723,2024-02-07,49539.68,Net Banking,Kotak,Education,Success
1399,569,2024-12-20,2763.86,Debit Card,BOB,Groceries,Pending
